"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2150868,"October 25, 2021",Delaware,Wilmington,"W 7th St and N West St",0,1,N/A
2149624,"October 24, 2021",Delaware,Seaford,"11000 block of Hastings Farm Rd",1,0,N/A
2150863,"October 24, 2021",Delaware,Wilmington,"50 block of W 27th St",1,0,N/A
2149069,"October 23, 2021",Delaware,Wilmington,"200 block of W 30th St",1,0,N/A
2148037,"October 21, 2021",Delaware,Wilmington,"W 5th St and N Madison St",0,2,N/A
2147180,"October 21, 2021",Delaware,"Ocean View","30000 block of Bethany Crest",1,0,N/A
2147193,"October 20, 2021",Delaware,Wilmington,"1300 block of Maryland Ave",0,1,N/A
2146675,"October 19, 2021",Delaware,Dover,"1 Dover High Dr",0,0,N/A
2143658,"October 17, 2021",Delaware,Wilmington,"W 3rd St and N Clayton St",1,0,N/A
2143706,"October 16, 2021",Delaware,Dover,"S Little Creek Rd and Barrister Place",0,1,N/A
2142937,"October 15, 2021",Delaware,Wilmington,"300 block of W 6th St",0,1,N/A
2140692,"October 12, 2021",Delaware,Wilmington,"1000 block of Kirkwood St",1,0,N/A
2140677,"October 11, 2021",Delaware,Middletown,"600 block of Schoonover Ln",0,1,N/A
2137555,"October 10, 2021",Delaware,Dover,"1500 block of Nathaniel Mitchell Rd",1,4,N/A
2137081,"October 9, 2021",Delaware,Newark,"100 block of Madison Dr",0,1,N/A
2131722,"October 2, 2021",Delaware,Wilmington,"3800 block of Governor Printz Blvd",1,0,N/A
2131027,"October 1, 2021",Delaware,Clayton,"4700 block of Wheatleys Pond Rd",0,1,N/A
2130857,"October 1, 2021",Delaware,Clayton,"3900 block of Wheatleys Pond Rd",0,1,N/A
2127124,"September 26, 2021",Delaware,Wilmington,"2200 block of North Spruce St",1,0,N/A
2126191,"September 26, 2021",Delaware,Wilmington,"700 block of N Washington St",0,1,N/A
2125521,"September 25, 2021",Delaware,Wilmington,"400 block of N Monroe St",1,0,N/A
2123714,"September 23, 2021",Delaware,Wilmington,"1300 block of E 29th St",1,0,N/A
2122753,"September 22, 2021",Delaware,Wilmington,"E 28th and Jessup St",0,1,N/A
2121877,"September 20, 2021",Delaware,Wilmington,"Taylor St and Bennett St",0,1,N/A
2120221,"September 19, 2021",Delaware,Wilmington,"800 block of 7½ St",0,1,N/A
2120145,"September 19, 2021",Delaware,Dover,"New Castle Ave and E Water St",0,1,N/A
2120219,"September 18, 2021",Delaware,Wilmington,"100 block of S Harrison St",0,1,N/A
2118566,"September 17, 2021",Delaware,Wilmington,"4737 Concord Pike",0,1,N/A
2117121,"September 14, 2021",Delaware,Wilmington,"Pleasant St and Van Buren St",0,1,N/A
2115508,"September 12, 2021",Delaware,Wilmington,"Chestnut St and S Harrison St",1,1,N/A
2113721,"September 11, 2021",Delaware,"New Castle","N Dupont Hwy and E Hazeldell Ave",0,1,N/A
2115513,"September 11, 2021",Delaware,Newark,"104 Sandburg Pl",0,1,N/A
2112913,"September 9, 2021",Delaware,Newark,"1901 S College Ave",0,0,N/A
2112063,"September 9, 2021",Delaware,Wilmington,"200 block of N Van Buren St",0,1,N/A
2110346,"September 7, 2021",Delaware,Wilmington,"A St and New Castle Ave",0,4,N/A
2110581,"September 7, 2021",Delaware,Wilmington,"3rd St and Harrison St",0,1,N/A
2107997,"September 3, 2021",Delaware,Smyrna,"100 Block of Lincoln St",0,0,N/A
2105883,"August 31, 2021",Delaware,"New Castle","100 block of Freedom Trail",1,0,N/A
2104121,"August 29, 2021",Delaware,Smyrna,"50 Block of N Howard St",0,1,N/A
2104117,"August 29, 2021",Delaware,Wilmington,"2500 block of West St",0,1,N/A
2102435,"August 27, 2021",Delaware,Seaford,"US-13 and Concord Rd",0,1,N/A
2100952,"August 26, 2021",Delaware,Wilmington,"1950 Maryland Ave",1,0,N/A
2098235,"August 22, 2021",Delaware,Dover,"1001 White Oak Rd",0,1,N/A
2097383,"August 21, 2021",Delaware,Wilmington,"1700 block of W 5th St",0,1,N/A
2097346,"August 21, 2021",Delaware,Dover,"2000 Block of Dyke Branch Rd",1,0,N/A
2097381,"August 21, 2021",Delaware,Wilmington,"300 block of S Broom St",0,1,N/A
2092512,"August 16, 2021",Delaware,Wilmington,"200 block of S Broom St",0,1,N/A
2091874,"August 15, 2021",Delaware,Middletown,"67 New St",0,1,N/A
2091870,"August 15, 2021",Delaware,Newark,"I-95 and Churchmans Rd",0,1,N/A
2092519,"August 15, 2021",Delaware,Wilmington,"500 block of E 9th St",0,1,N/A
2091862,"August 14, 2021",Delaware,Wilmington,"2700 block of Bowers St",1,0,N/A
2092514,"August 14, 2021",Delaware,Dover,"107 W Loockerman St",0,2,N/A
2089390,"August 12, 2021",Delaware,Wilmington,"1200 block of W 4th St",1,0,N/A
2086646,"August 9, 2021",Delaware,Dover,"995 Whatcoat Dr",0,0,N/A
2085741,"August 8, 2021",Delaware,Dover,"295 S DuPont Hwy",0,1,N/A
2086622,"August 8, 2021",Delaware,Wilmington,"700 block of E 10th St",0,2,N/A
2084999,"August 7, 2021",Delaware,Wilmington,"Conrad St and N Scott St",0,1,N/A
2084996,"August 7, 2021",Delaware,Wilmington,"400 block of W 29th St",1,0,N/A
2084994,"August 6, 2021",Delaware,Wilmington,"800 block of N West St",0,1,N/A
2083672,"August 4, 2021",Delaware,Wilmington,"100 block of N Harrison St",0,1,N/A
2082128,"August 2, 2021",Delaware,"New Castle","Glen Ave and Dyer Ave",0,1,N/A
2080257,"August 1, 2021",Delaware,Dover,"50 block of Stevenson Dr",0,1,N/A
2079475,"July 30, 2021",Delaware,Newark,"1000 Churchmans Rd",0,1,N/A
2079471,"July 30, 2021",Delaware,Bear,"Korean War Veterans Memorial Hwy and Pulaski Hwy",0,1,N/A
2079464,"July 30, 2021",Delaware,Wilmington,"1000 block of N Pine St",0,1,N/A
2075608,"July 26, 2021",Delaware,Wilmington,"1100 block of W 2nd St",3,1,N/A
2075612,"July 26, 2021",Delaware,Wilmington,"2400 block of Jessup St",1,1,N/A
2075914,"July 26, 2021",Delaware,Wilmington,"600 block of N Monroe St",1,1,N/A
2074026,"July 24, 2021",Delaware,Dover,"400 block of Barrister Pl",0,1,N/A
2073267,"July 24, 2021",Delaware,Dover,"995 Whatcoat Dr",0,1,N/A
2071674,"July 22, 2021",Delaware,Middletown,"60 block of E Cole Blvd",0,0,N/A
2071668,"July 22, 2021",Delaware,Wilmington,"200 block of N Clayton St",0,1,N/A
2069972,"July 20, 2021",Delaware,Newark,"400 block of Wollaston Ave",1,0,N/A
2074984,"July 20, 2021",Delaware,Seaford,"900 Woodland Mills Dr",0,1,N/A
2074983,"July 20, 2021",Delaware,Seaford,"400 block of North St",0,0,N/A
2067329,"July 19, 2021",Delaware,Dover,"1156 S Bay Rd",0,2,N/A
2068807,"July 19, 2021",Delaware,Wilmington,"50 block of W 27th St",0,1,N/A
2066503,"July 18, 2021",Delaware,Dover,"1200 block of Harrison Dr",0,1,N/A
2067325,"July 18, 2021",Delaware,Bridgeville,"8000 block of Cannon Rd",0,0,N/A
2065996,"July 15, 2021",Delaware,Milford,"East St and NE 4th St",0,1,N/A
2063394,"July 14, 2021",Delaware,Claymont,"50 block of Balfour Ave",2,2,N/A
2061091,"July 13, 2021",Delaware,Dover,"100 block of W Loockerman St",0,1,N/A
2061420,"July 13, 2021",Delaware,Wilmington,"1300 block of W 6th St",0,1,N/A
2059116,"July 9, 2021",Delaware,Dover,"200 block of Cecil St",0,1,N/A
2067345,"July 9, 2021",Delaware,"New Castle","1600 block of Coleman St",1,0,N/A
2057890,"July 8, 2021",Delaware,Wilmington,"1200 block of W Fourth St",0,0,N/A
2055236,"July 6, 2021",Delaware,Wilmington,"1300 block of Read St",0,1,N/A
2055776,"July 6, 2021",Delaware,"New Castle","600 block of Moores Ln",0,1,N/A
2053609,"July 5, 2021",Delaware,Wilmington,"700 block of Elbert Pl",1,0,N/A
2052792,"July 3, 2021",Delaware,Newark,"100 block of Madison Dr",0,1,N/A
2051906,"July 2, 2021",Delaware,Wilmington,"2300 block of N West St",0,1,N/A
2051904,"July 2, 2021",Delaware,Wilmington,"2500 block of N Tatnall St",0,1,N/A
2051902,"July 2, 2021",Delaware,Wilmington,"900 block of Lombard St",1,0,N/A
2050709,"July 1, 2021",Delaware,Newark,"13 Salem Village Square",0,1,N/A
2050707,"July 1, 2021",Delaware,Wilmington,"7th St and N Jefferson St",0,1,N/A
2049255,"June 30, 2021",Delaware,Wilmington,"600 block of N Madison St",0,1,N/A
2050167,"June 30, 2021",Delaware,Dover,"100 block of S New St",1,3,N/A
2048058,"June 28, 2021",Delaware,Newark,"132 Christiana Mall",1,0,N/A
2047079,"June 27, 2021",Delaware,Wilmington,"700 block of N Jefferson St",0,3,N/A
2046182,"June 27, 2021",Delaware,Newark,"1 Louis Ct",1,2,N/A
2057886,"June 27, 2021",Delaware,Wilmington,"200 block of N Harrison St",0,0,N/A
2045750,"June 25, 2021",Delaware,"Fenwick Island","W Atlantic St",0,0,N/A
2046240,"June 25, 2021",Delaware,"Fenwick Island","50 block of W Atlantic St",0,0,N/A
2044061,"June 24, 2021",Delaware,Wilmington,"200 block of N Rodney St",0,1,N/A
2044776,"June 24, 2021",Delaware,Dover,"Bicentennial Blvd and Declaration Dr",0,0,N/A
2044074,"June 23, 2021",Delaware,Dover,"400 block of River Rd",0,1,N/A
2044059,"June 23, 2021",Delaware,Wilmington,"Pleasant St and Franklin St",0,1,N/A
2044055,"June 23, 2021",Delaware,Wilmington,"2300 block of Bowers St",0,1,N/A
2042972,"June 22, 2021",Delaware,Wilmington,"500 block of W 35th St",1,0,N/A
